Model ID,PubMed ID,Author,Year,Journal,Title,Primary Index Condition,Secondary Index Condition,Outcome,Model Sample Size,Cohort Sample Size,Number of Events,Follow-Up Duration,AUROC,Calibration Reported,Covariates,MH
97-001-05,9193435,Aaronson,1997,Circulation,Development and prospective validation of a clinical index to predict survival in ambulatory patients referred for cardiac transplant evaluation,Congestive Heart Failure (CHF),N/A,Mortality,231,231,,Long (> 6 months),0.81,Yes,"Cardiomyopathy, IVCD, LVEF, BP, PCWP, Peak VO2, Heart Rate, Sodium","Cardiac Output, Low/physiopathology/surgery; Evaluation Studies as Topic; Female; *Heart Transplantation; Humans; Male; Middle Aged; Models, Cardiovascular; *Outpatients; Prognosis; Proportional Hazards Models; Prospective Studies; *Referral and Consultation; Survival Analysis"
97-001-06,9200390,Califf,1997,American Heart Journal,Selection of thrombolytic therapy for individual patients: development of a clinical model,Coronary Artery Disease (CAD),Acute Coronary Syndrome (ACS),Mortality,41021,41021,,Short (< 3 months),,No,"Age, Heart Rate, MI Location, Prior MI, SBP","Age Factors; Aged; Anticoagulants/administration & dosage/therapeutic use; Blood Pressure; Fibrinolytic Agents/administration & dosage/therapeutic use; Forecasting; Heart Rate; Heparin/administration & dosage/therapeutic use; Humans; Injections, Intravenous; Injections, Subcutaneous; Logistic Models; Middle Aged; Models, Statistical; Myocardial Infarction/*drug therapy; Plasminogen Activators/administration & dosage/therapeutic use; Prognosis; Risk Factors; Streptokinase/administration & dosage/therapeutic use; Survival Rate; *Thrombolytic Therapy; Tissue Plasminogen Activator/administration & dosage/therapeutic use; Treatment Outcome"
97-001-07,9200394,O'Connor,1997,American Heart Journal,Clinical characteristics and long-term outcome of patients in whom congestive heart failure develops after thrombolytic therapy for acute myocardial infarction: development of a predictive model,Coronary Artery Disease (CAD),Acute Coronary Syndrome (ACS),Congestive Heart Failure (CHF),1521,1521,301,Long (> 6 months),0.66,No,"Age, Diabetes, Heart Rate, Rales, Mean Arterial Pressure, MI Location, Number of MIs","Age Factors; Aged; Blood Pressure; Cardiac Output, Low/complications; Cohort Studies; Coronary Angiography; Coronary Disease/complications; Demography; Diabetes Complications; Electrocardiography; Female; Follow-Up Studies; Forecasting; Heart Failure/*etiology; Hospitalization; Humans; Length of Stay; Longitudinal Studies; Male; Middle Aged; Mitral Valve Insufficiency/complications; Myocardial Infarction/*drug therapy; Myocardial Ischemia/complications; Prospective Studies; Recurrence; Regression Analysis; Sex Factors; Survival Rate; Thrombolytic Therapy/*adverse effects; Treatment Outcome; Vascular Patency"
97-001-08,9217616,Morise,1997,American Journal of Medicine,Development and validation of a clinical score to estimate the probability of coronary artery disease in men and women presenting with suspected coronary disease,Coronary Artery Disease (CAD),Stable,Coronary Artery Disease (CAD),915,915,170,diagnosis,,No,"Age, BMI, Diabetes, Estrogen Status, Family History, Sex, Hyperlipidemia, Hypertension, Obesity, Smoking, Symptoms",Aged; Coronary Angiography; Coronary Disease/*diagnosis; Electrocardiography; Exercise Test; Female; Humans; Logistic Models; Male; Middle Aged; Probability; Retrospective Studies
97-001-09,9227690,Fogelholm,1997,Stroke,prognostic value and determinants of first-day mean arterial pressure in spontaneous supratentorial intracerebral hemorrhage,Stroke,Hemorrhage,Mortality,282,282,120,Short (< 3 months),,No,"Glucose, Mental Status, Arterial Pressure, Midline Shift, Subarachnoid Spread, Vomiting","Aged; *Blood Pressure; Cerebral Hemorrhage/mortality/*radiography; Consciousness; Female; Humans; Logistic Models; Male; Middle Aged; Orientation; Predictive Value of Tests; Prognosis; Survival Analysis; Tomography, X-Ray Computed"
97-001-10,9313022,Selker,1997,Annals of Internal Medicine,Patient-specific predictions of outcomes in myocardial infarction for real-time emergency use: a thrombolytic predictive instrument,Coronary Artery Disease (CAD),Acute Coronary Syndrome (ACS),Mortality,2525,2525,,Short (< 3 months),0.78,Yes,"AMI Location, Heart Rate, Diabetes, Thrombolytics, Age, Q Waves, RBBB, ST Segment Elevation, SBP, Time to EKG","Cerebral Hemorrhage/etiology; Electrocardiography; *Emergency Service, Hospital; Heart Arrest/etiology; Hemorrhage/etiology; Humans; Information Systems; Logistic Models; Myocardial Infarction/complications/mortality/*therapy; Patient Selection; *Therapy, Computer-Assisted; *Thrombolytic Therapy; Time Factors; Treatment Outcome"
97-001-11,9313022,Selker,1997,Annals of Internal Medicine,Patient-specific predictions of outcomes in myocardial infarction for real-time emergency use: a thrombolytic predictive instrument,Coronary Artery Disease (CAD),Acute Coronary Syndrome (ACS),Mortality,2369,2369,,Long (> 6 months),0.8,Yes,"AMI Location, Heart Rate, Q Waves, Age, RBBB","Cerebral Hemorrhage/etiology; Electrocardiography; *Emergency Service, Hospital; Heart Arrest/etiology; Hemorrhage/etiology; Humans; Information Systems; Logistic Models; Myocardial Infarction/complications/mortality/*therapy; Patient Selection; *Therapy, Computer-Assisted; *Thrombolytic Therapy; Time Factors; Treatment Outcome"
97-001-12,9313022,Selker,1997,Annals of Internal Medicine,Patient-specific predictions of outcomes in myocardial infarction for real-time emergency use: a thrombolytic predictive instrument,Coronary Artery Disease (CAD),Acute Coronary Syndrome (ACS),Cardiac Arrest,9999999,9999999,,Short (< 3 months),0.77,Yes,"QT Interval, EKG Size of AMI, Age, ST Segment Elevation, SBP, Time Interval, Thrombolytics","Cerebral Hemorrhage/etiology; Electrocardiography; *Emergency Service, Hospital; Heart Arrest/etiology; Hemorrhage/etiology; Humans; Information Systems; Logistic Models; Myocardial Infarction/complications/mortality/*therapy; Patient Selection; *Therapy, Computer-Assisted; *Thrombolytic Therapy; Time Factors; Treatment Outcome"
10-001-32,20233732,Reid,2010,Age & Ageing,Predicting functional outcome after stroke by modelling baseline clinical and CT variables,Stroke,CVA,Functional Outcome,538,538,310,Moderate (3-6 months),0.901,No,"Able to Walk, Age, Arm Power, CT Abnormality, Leukoaraiosis, Pre-Stroke Independence, Stroke Severity","Activities of Daily Living; Acute Disease; Aged; Aged, 80 and over; Area Under Curve; Female; Humans; Male; Middle Aged; *Models, Statistical; Outcome Assessment (Health Care)/*methods; Predictive Value of Tests; Prognosis; ROC Curve; Severity of Illness Index; Stroke/mortality/*radiography/*rehabilitation; Survival Rate; *Tomography, X-Ray Computed"
97-001-13,9313022,Selker,1997,Annals of Internal Medicine,Patient-specific predictions of outcomes in myocardial infarction for real-time emergency use: a thrombolytic predictive instrument,Coronary Artery Disease (CAD),Acute Coronary Syndrome (ACS),Stroke,9999999,9999999,,NR,0.82,Yes,"Pulse BP, Age","Cerebral Hemorrhage/etiology; Electrocardiography; *Emergency Service, Hospital; Heart Arrest/etiology; Hemorrhage/etiology; Humans; Information Systems; Logistic Models; Myocardial Infarction/complications/mortality/*therapy; Patient Selection; *Therapy, Computer-Assisted; *Thrombolytic Therapy; Time Factors; Treatment Outcome"
97-001-14,9313022,Selker,1997,Annals of Internal Medicine,Patient-specific predictions of outcomes in myocardial infarction for real-time emergency use: a thrombolytic predictive instrument,Coronary Artery Disease (CAD),Acute Coronary Syndrome (ACS),Hemorrhage,9999999,9999999,,NR,0.83,Yes,"Heart Rate, SBP, Hypertension, Age, Sex, Thrombolytic Dose","Cerebral Hemorrhage/etiology; Electrocardiography; *Emergency Service, Hospital; Heart Arrest/etiology; Hemorrhage/etiology; Humans; Information Systems; Logistic Models; Myocardial Infarction/complications/mortality/*therapy; Patient Selection; *Therapy, Computer-Assisted; *Thrombolytic Therapy; Time Factors; Treatment Outcome"
97-001-15,9354526,Higgins,1997,Annals of Thoracic Surgery,ICU admission score for predicting morbidity and mortality risk after coronary artery bypass grafting,Coronary Artery Disease (CAD),Cardiac Surgery,Mortality,2440,2440,78,Short (< 3 months),0.86,Yes,"Age, Arterial Bicarbonate, Cardiac Index, CPB Time, Heart Rate, PVD, Albumin, IABP",Coronary Artery Bypass/*mortality; *Coronary Care Units; Female; Hospital Mortality; Humans; Logistic Models; Male; Middle Aged; Postoperative Complications/*epidemiology; Prospective Studies; Risk Assessment; Risk Factors; Severity of Illness Index
97-001-16,9354526,Higgins,1997,Annals of Thoracic Surgery,ICU admission score for predicting morbidity and mortality risk after coronary artery bypass grafting,Coronary Artery Disease (CAD),Cardiac Surgery,Mortality,2440,2440,78,Short (< 3 months),0.87,Yes,"Age, CPB Time, Intervention for PVD, ICU Admission Physiology, Albumin, Creatinine, Prior Heart Operation, BSA, IABP",Coronary Artery Bypass/*mortality; *Coronary Care Units; Female; Hospital Mortality; Humans; Logistic Models; Male; Middle Aged; Postoperative Complications/*epidemiology; Prospective Studies; Risk Assessment; Risk Factors; Severity of Illness Index
97-001-17,9354526,Higgins,1997,Annals of Thoracic Surgery,ICU admission score for predicting morbidity and mortality risk after coronary artery bypass grafting,Coronary Artery Disease (CAD),Cardiac Surgery,Major Adverse Cardiac Events (MACE),2440,2440,254,Short (< 3 months),0.82,Yes,"Prior Heart Operations, A-a Gradient, Age, Arterial Bicarbonate, BSA, Cardiac Index, CPB Time, Central Venous Pressure, Heart Rate, PVD, Albumin, Creatinine, IABP",Coronary Artery Bypass/*mortality; *Coronary Care Units; Female; Hospital Mortality; Humans; Logistic Models; Male; Middle Aged; Postoperative Complications/*epidemiology; Prospective Studies; Risk Assessment; Risk Factors; Severity of Illness Index
97-001-18,9354526,Higgins,1997,Annals of Thoracic Surgery,ICU admission score for predicting morbidity and mortality risk after coronary artery bypass grafting,Coronary Artery Disease (CAD),Cardiac Surgery,Major Adverse Cardiac Events (MACE),2440,2440,254,Short (< 3 months),0.8,Yes,"Age, Hematocrit, Cerebrovascular Disease, COPD, Diabetes, Emergency, Stenosis, Mitral Valve Insufficiency, Prior Cardiac Operation, Vascular Surgery, Creatinine, LV Dysfunction, Weight",Coronary Artery Bypass/*mortality; *Coronary Care Units; Female; Hospital Mortality; Humans; Logistic Models; Male; Middle Aged; Postoperative Complications/*epidemiology; Prospective Studies; Risk Assessment; Risk Factors; Severity of Illness Index
97-001-19,9386139,Siu,1997,Circulation,Risk and predictors for pregnancy-related complications in women with heart disease,Pregnancy,N/A,Composite (Non-MACE),221,221,45,NR,0.79,Yes,"Left Heart Obstruction, Myocardial Dysfunction, NYHA Class or Cyanosis, Arrhythmia, Prior Cardiac Events","Adolescent; Adult; Female; Heart Diseases/*complications; Humans; Infant, Newborn; Multivariate Analysis; Pregnancy; *Pregnancy Complications, Cardiovascular; Pregnancy Outcome; Risk"
97-001-20,9396421,Valenzuela,1997,Circulation,Estimating effectiveness of cardiac arrest interventions: a logistic regression survival model,Cardiac Arrest,N/A,Mortality,205,205,169,Short (< 3 months),0.783,No,"Collapse to CPR Interval, Collapse to Defibrillation Interval","Adolescent; Aged; Cardiopulmonary Resuscitation; Electric Countershock; Evaluation Studies as Topic; Female; Heart Arrest/etiology/*mortality/*therapy; Humans; Male; Middle Aged; Models, Cardiovascular; Regression Analysis; Retrospective Studies; Survival Analysis; Treatment Outcome; Ventricular Fibrillation/complications/therapy"
97-001-21,9425461,Knuiman,1997,Journal of Epidemiology & Community Health,"Prediction of coronary heart disease mortality in Busselton, Western Australia: an evaluation of the Framingham, national health epidemiologic follow up study, and WHO ERICA risk scores",Population Sample,N/A,Mortality,1923,1923,116,Long (> 6 months),,Yes,"Age, Cholesterok Smoking, SBP",Adult; Age Factors; Aged; Blood Pressure; Body Mass Index; Cholesterol/blood; Coronary Disease/etiology/*mortality; Evaluation Studies as Topic; Female; Follow-Up Studies; Health Surveys; Humans; Male; Middle Aged; Risk Assessment; Risk Factors; Sex Factors; Smoking/adverse effects; Western Australia/epidemiology
97-001-22,9425461,Knuiman,1997,Journal of Epidemiology & Community Health,"Prediction of coronary heart disease mortality in Busselton, Western Australia: an evaluation of the Framingham, national health epidemiologic follow up study, and WHO ERICA risk scores",Population Sample,N/A,Mortality,1968,1968,71,Long (> 6 months),,Yes,"Age, Cholesterol, Smoking, SBP",Adult; Age Factors; Aged; Blood Pressure; Body Mass Index; Cholesterol/blood; Coronary Disease/etiology/*mortality; Evaluation Studies as Topic; Female; Follow-Up Studies; Health Surveys; Humans; Male; Middle Aged; Risk Assessment; Risk Factors; Sex Factors; Smoking/adverse effects; Western Australia/epidemiology
97-001-23,9425461,Knuiman,1997,Journal of Epidemiology & Community Health,"Prediction of coronary heart disease mortality in Busselton, Western Australia: an evaluation of the Framingham, national health epidemiologic follow up study, and WHO ERICA risk scores",Population Sample,N/A,Mortality,1923,1923,116,Long (> 6 months),,Yes,"Age, BMI, Cholesterol, Smoking, SBP",Adult; Age Factors; Aged; Blood Pressure; Body Mass Index; Cholesterol/blood; Coronary Disease/etiology/*mortality; Evaluation Studies as Topic; Female; Follow-Up Studies; Health Surveys; Humans; Male; Middle Aged; Risk Assessment; Risk Factors; Sex Factors; Smoking/adverse effects; Western Australia/epidemiology
97-001-24,9425461,Knuiman,1997,Journal of Epidemiology & Community Health,"Prediction of coronary heart disease mortality in Busselton, Western Australia: an evaluation of the Framingham, national health epidemiologic follow up study, and WHO ERICA risk scores",Population Sample,N/A,Mortality,1968,1968,71,Long (> 6 months),,Yes,"Age, BMI, Cholesterol, Smoking, SBP",Adult; Age Factors; Aged; Blood Pressure; Body Mass Index; Cholesterol/blood; Coronary Disease/etiology/*mortality; Evaluation Studies as Topic; Female; Follow-Up Studies; Health Surveys; Humans; Male; Middle Aged; Risk Assessment; Risk Factors; Sex Factors; Smoking/adverse effects; Western Australia/epidemiology
97-001-25,9428249,Wells,1997,Lancet,Value of assessment of pretest probability of deep-vein thrombosis in clinical management.,Venous Thromboembolism (VTE),Diagnosis,Venous Thromboembolism (VTE),593,593,95,diagnosis,,No,"Cancer, Alternative Diagnosis, Leg Swelling, Collateral Superficial Veins, Tenderness, Paralysis, Pitting Edema, Bedridden","Algorithms; Female; Humans; Male; Middle Aged; Models, Biological; Probability; Prospective Studies; Thrombophlebitis/diagnosis/therapy/*ultrasonography"
98-001-01,9487327,Wells,1998,Journal of Internal Medicine,A simple clinical model for the diagnosis of deep-vein thrombosis combined with impedance plethysmography: potential for an improvement in the diagnostic process.,Venous Thromboembolism (VTE),Diagnosis,Venous Thromboembolism (VTE),495,495,135,diagnosis,,No,"Alternative Diagnosis, Cancer, Dilated Superficial Veins, Leg Swelling, Immobilization, Paralysis, Pitting Edema, Tender Deep Veins","Diagnosis, Differential; Humans; Logistic Models; Multivariate Analysis; Odds Ratio; *Plethysmography, Impedance; Prospective Studies; Sensitivity and Specificity; Thrombophlebitis/*diagnosis"
98-001-02,9487327,Wells,1998,Journal of Internal Medicine,A simple clinical model for the diagnosis of deep-vein thrombosis combined with impedance plethysmography: potential for an improvement in the diagnostic process.,Venous Thromboembolism (VTE),Diagnosis,Venous Thromboembolism (VTE),495,495,135,diagnosis,,No,"Anticoagulant Therapy, Impedance Plethysmography, Post-Test Probability, Ultrasonography, Venography","Diagnosis, Differential; Humans; Logistic Models; Multivariate Analysis; Odds Ratio; *Plethysmography, Impedance; Prospective Studies; Sensitivity and Specificity; Thrombophlebitis/*diagnosis"
98-001-03,9603539,Wilson,1998,Circulation,Prediction of coronary heart disease using risk factor categories,Population Sample,N/A,Major Adverse Cardiac Events (MACE),2489,2489,,Long (> 6 months),,No,"Age, BP, Diabetes, HDL Cholesterol, Smoking, Total Cholesterol","Adult; Aged; Algorithms; *Blood Pressure; Body Mass Index; Cholesterol/*blood; Cholesterol, LDL/classification; Cohort Studies; Comorbidity; Coronary Disease/*epidemiology; Diabetes Mellitus/epidemiology; Female; Follow-Up Studies; Humans; Lipids/blood; Male; Middle Aged; National Health Programs; Proportional Hazards Models; Risk Factors; Smoking/epidemiology"
98-001-04,9603539,Wilson,1998,Circulation,Prediction of coronary heart disease using risk factor categories,Population Sample,N/A,Major Adverse Cardiac Events (MACE),2856,2856,,Long (> 6 months),,No,"Age, BP, Diabetes, HDL Cholesterol, Smoking, Total Cholesterol","Adult; Aged; Algorithms; *Blood Pressure; Body Mass Index; Cholesterol/*blood; Cholesterol, LDL/classification; Cohort Studies; Comorbidity; Coronary Disease/*epidemiology; Diabetes Mellitus/epidemiology; Female; Follow-Up Studies; Humans; Lipids/blood; Male; Middle Aged; National Health Programs; Proportional Hazards Models; Risk Factors; Smoking/epidemiology"
98-001-05,9603539,Wilson,1998,Circulation,Prediction of coronary heart disease using risk factor categories,Population Sample,N/A,Major Adverse Cardiac Events (MACE),2489,2489,,Long (> 6 months),,No,"Age, BP, Diabetes, HDL Cholesterol, Smoking, Total Cholesterol","Adult; Aged; Algorithms; *Blood Pressure; Body Mass Index; Cholesterol/*blood; Cholesterol, LDL/classification; Cohort Studies; Comorbidity; Coronary Disease/*epidemiology; Diabetes Mellitus/epidemiology; Female; Follow-Up Studies; Humans; Lipids/blood; Male; Middle Aged; National Health Programs; Proportional Hazards Models; Risk Factors; Smoking/epidemiology"
98-001-06,9603539,Wilson,1998,Circulation,Prediction of coronary heart disease using risk factor categories,Population Sample,N/A,Major Adverse Cardiac Events (MACE),2856,2856,,Long (> 6 months),,No,"Age, BP, Diabetes, HDL Cholesterol, Smoking, Total Cholesterol","Adult; Aged; Algorithms; *Blood Pressure; Body Mass Index; Cholesterol/*blood; Cholesterol, LDL/classification; Cohort Studies; Comorbidity; Coronary Disease/*epidemiology; Diabetes Mellitus/epidemiology; Female; Follow-Up Studies; Humans; Lipids/blood; Male; Middle Aged; National Health Programs; Proportional Hazards Models; Risk Factors; Smoking/epidemiology"
98-001-07,9645975,Arboix,1998,Cerebrovascular Diseases,Predictive clinical factors of in-hospital mortality in 231 consecutive patients with cardioembolic cerebral infarction,Stroke,Ischemic,Mortality,231,231,63,Short (< 3 months),,No,"Age, Mental Status, CHF, Limb Weakness, Sex",Cerebral Infarction/etiology/*mortality; Female; Heart Diseases/*complications; *Hospital Mortality; Humans; Intracranial Embolism and Thrombosis/*complications; Logistic Models; Male; Multivariate Analysis; Prognosis; Prospective Studies; Recurrence; Registries; Regression Analysis; Risk Factors
98-001-08,9645975,Arboix,1998,Cerebrovascular Diseases,Predictive clinical factors of in-hospital mortality in 231 consecutive patients with cardioembolic cerebral infarction,Stroke,Ischemic,Mortality,231,231,63,Short (< 3 months),,No,"Age, Mental Status, CHF, Recurrent Embolism, Limb Weakness, Sex",Cerebral Infarction/etiology/*mortality; Female; Heart Diseases/*complications; *Hospital Mortality; Humans; Intracranial Embolism and Thrombosis/*complications; Logistic Models; Male; Multivariate Analysis; Prognosis; Prospective Studies; Recurrence; Registries; Regression Analysis; Risk Factors
98-001-09,9660379,Wardlaw,1998,Stroke,Is visible infarction on computed tomography associated with an adverse prognosis in acute ischemic stroke?,Stroke,Ischemic,Mortality,993,993,,Moderate (3-6 months),,No,"GCS Verbal Score, Age, Smoking, Dyspraxia, Lives Alone, mRS, Arm Power, Unable to Walk","Acute Disease; Brain Ischemia/mortality/*physiopathology/*radiography; Cerebral Infarction/*radiography; Cerebrovascular Disorders/mortality/*physiopathology/*radiography; Humans; Multivariate Analysis; Prognosis; Prospective Studies; Regression Analysis; Risk Factors; Severity of Illness Index; *Tomography, X-Ray Computed"
98-001-10,9727814,Beyth,1998,The American Journal of Medicine,Prospective evaluation of an index for predicting the risk of major bleeding in outpatients treated with warfarin,Misc,N/A,Hemorrhage,556,556,65,Long (> 6 months),0.72,No,"Age, GI Bleed, Stroke, Recent MI",Aged; Anticoagulants/*adverse effects; *Decision Support Techniques; Evaluation Studies as Topic; Female; Follow-Up Studies; Hemorrhage/*chemically induced/prevention & control; Humans; Male; Middle Aged; Probability; Prognosis; Prospective Studies; Risk Factors; Warfarin/*adverse effects
98-001-11,9794342,Polanczyk,1998,Medical Care,A new casemix adjustment index for hospital mortality among patients with congestive heart failure,Congestive Heart Failure (CHF),N/A,Mortality,2320,4608,148,Short (< 3 months),0.83,No,"Age, Cerebrovascular Disease, COPD, Hyponatremia, Hypotension/Shock, Malignancy, Metastatic Disease, Liver Disease, Renal Disease, Hydro-Electrolytic Disturbance, Transferred Admission, Ventricular Arrhythmia","Aged; Aged, 80 and over; Cause of Death; Comorbidity; Diagnosis-Related Groups/*statistics & numerical data; Female; Heart Failure/classification/*mortality; *Hospital Mortality; Hospitals, General/statistics & numerical data; Humans; Logistic Models; Male; Massachusetts; Middle Aged; New York; Odds Ratio; Prognosis; Risk Adjustment; Treatment Outcome"
98-001-12,9875774,Gordon,1998,Annals of Thoracic Surgery,Permanent cardiac pacing after a cardiac operation: predicting the use of permanent pacemakers,Cardiac Surgery,N/A,Pacemaker Placement,10421,10421,255,Not Reported,0.804,Yes,"Ablative Arrhythmia Operation, Endocarditis, Age, AVR, Cardioplegia, MVR, Renal Failure, Reoperation","Age Factors; Aged; Arrhythmias, Cardiac/surgery; *Cardiac Pacing, Artificial; *Cardiac Surgical Procedures; Catheter Ablation; Confidence Intervals; Female; Heart Arrest, Induced; Heart Valves/surgery; Humans; Logistic Models; Male; Middle Aged; Mitral Valve/surgery; Odds Ratio; Postoperative Care; Prospective Studies; Regression Analysis; Renal Insufficiency/complications; Reoperation; Risk Factors"
99-001-01,10074953,Kuijer,1999,Archives of Internal Medicine,Prediction of the risk of bleeding during anticoagulant treatment for venous thromboembolism,Venous Thromboembolism (VTE),N/A,Hemorrhage,241,241,63,Moderate (3-6 months),0.75,Yes,"Age, Malignancy, Sex","Anticoagulants/*adverse effects; Female; Hemorrhage/*chemically induced; Humans; Incidence; Male; Middle Aged; Models, Statistical; Odds Ratio; Predictive Value of Tests; Risk; Risk Factors; Thromboembolism/*drug therapy"
99-001-02,10102459,Kahn,1999,Thrombosis & Haemostasis,Clinical prediction of deep vein thrombosis in patients with leg symptoms,Venous Thromboembolism (VTE),Diagnosis,Venous Thromboembolism (VTE),271,271,73,Moderate (3-6 months),,No,"Sex, Orthopedic Surgery, Venous Dilation, Warmth","Adult; Aged; Diagnostic Techniques, Cardiovascular; Female; Humans; Leg/physiopathology; Male; Middle Aged; Predictive Value of Tests; Prevalence; Regression Analysis; Risk Factors; Thrombophlebitis/*diagnosis/physiopathology"
99-001-03,10334424,Philbin,1999,Journal of the American College of Cardiology,Prediction of hospital readmission for heart failure: development of a simple risk score based on administrative data,Congestive Heart Failure (CHF),N/A,Congestive Heart Failure (CHF),42731,42731,9112,Long (> 6 months),0.62,No,"Race, Lung Disease, Diabetes, Discharge to Nursing Facility, Home Health Care Services, Cardiomyopathy, IHD, Insurance, Catheterization, Echocardiography, Prior Cardiac Surgery, Renal Disease, Rural Hospital, Telemetry Monitoring, VHD","African Americans/statistics & numerical data; African Continental Ancestry Group; Aged; Aged, 80 and over; Comorbidity; European Continental Ancestry Group/statistics & numerical data; Female; Heart Failure/*epidemiology/ethnology/rehabilitation; Humans; Male; Medicaid/statistics & numerical data; Medicare/statistics & numerical data; Middle Aged; New York/epidemiology; Outcome and Process Assessment (Health Care); Patient Readmission/*statistics & numerical data; Risk; *Severity of Illness Index; United States"
99-001-04,10356104,Hart,1999,Stroke,Factors associated with ischemic stroke during aspirin therapy in atrial fibrillation: analysis of 2012 participants in the SPAF I-III clinical trials. The Stroke Prevention in Atrial Fibrillation (SPAF) Investigators.,Arrhythmia,N/A,Stroke,1853,1853,101,Long (> 6 months),,No,"Age, Alcohol Use, Sex, Hypertension, Stroke/TIA, SBP","Aged; Alcohol Drinking/physiopathology; Anticoagulants/*therapeutic use; Aspirin/*therapeutic use; Atrial Fibrillation/*drug therapy; Brain Ischemia/*etiology; Cerebrovascular Disorders/*etiology/prevention & control; Cohort Studies; Dose-Response Relationship, Drug; Drug Combinations; Estrogen Replacement Therapy/adverse effects; Female; Humans; Male; Multivariate Analysis; Regression Analysis; Risk Factors; Warfarin/administration & dosage/therapeutic use"
99-001-05,10361048,Staat,1999,European Heart Journal,Severe morbidity after coronary artery surgery: development and validation of a simple predictive clinical score,Coronary Artery Disease (CAD),Revascularization,Major Adverse Cardiac Events (MACE),452,679,156,Short (< 3 months),0.77,No,"BMI, CPB Time, Pulmonary Disease, Reoperation, ST Changes, Surgeons, HF, Ventricular Arrhythmia",Adult; Coronary Artery Bypass/*adverse effects; Coronary Disease/surgery; Female; Humans; Logistic Models; Male; Morbidity; Predictive Value of Tests; Retrospective Studies; Risk Factors; Severity of Illness Index
14-001-12,24010545,Seiffge,2014,European Journal of Neurology,Simple variables predict miserable outcome after intravenous thrombolysis,Stroke,Ischemic,Functional Outcome,1346,1346,180,Moderate (3-6 months),0.807,No,"Able to Lift Arms, Able to Walk, Age, Independence, Glasgow Coma Scale",
15-001-03,24239921,Goff,2014,Journal of the American College of Cardiology,2013 ACC/AHA Guideline on the Assessment of Cardiovascular Risk,Population Sample,N/A,Major Adverse Cardiac Events (MACE),11240,11240,902,Long (> 6 months),0.8058,Yes,"Smoking, Diabetes, Age, HDL Cholesterol, Total Cholesterol, Treated/Untreated SBP",
15-001-04,24239921,Goff,2014,Journal of the American College of Cardiology,2013 ACC/AHA Guideline on the Assessment of Cardiovascular Risk,Population Sample,N/A,Major Adverse Cardiac Events (MACE),2641,2641,290,Long (> 6 months),0.8182,Yes,"Smoking, Diabetes, Age, HDL Cholesterol, Total Cholesterol, Treated/Untreated SBP",
15-001-05,24239921,Goff,2014,Journal of the American College of Cardiology,2013 ACC/AHA Guideline on the Assessment of Cardiovascular Risk,Population Sample,N/A,Major Adverse Cardiac Events (MACE),9098,9098,1259,Long (> 6 months),0.7462,Yes,"Smoking, Diabetes, Age, HDL Cholesterol, Total Cholesterol, Treated/Untreated SBP",
15-001-06,24239921,Goff,2014,Journal of the American College of Cardiology,2013 ACC/AHA Guideline on the Assessment of Cardiovascular Risk,Population Sample,N/A,Major Adverse Cardiac Events (MACE),1647,1647,238,Long (> 6 months),0.713,Yes,"Smoking, Diabetes, Age, HDL Cholesterol, Total Cholesterol, Treated/Untreated SBP",
15-001-07,20428727,Guaragna,2010,Arquivos Brasileiros de Cardiologia,Proposed preoperative risk score for patients candidate to cardiac valve surgery,Cardiac Surgery,Valve,Mortality,1086,1086,128,Short (< 3 months),0.83,Yes,"Age, CABG, Creatinine, Dialysis, LVEF, Priority Status, Sex, NYHA Class, Pulmonary Hypertension",
15-001-08,23899075,Herman,2013,Journal of Cardiothoracic Surgery,Development of a predictive model for major adverse cardiac events in a coronary artery bypass and valve population,Cardiac Surgery,N/A,Composite (Non-MACE),4270,4270,669,Short (< 3 months),0.764,Yes,"Age, AF, BMI, COPD, Creatinine, CVD, Diabetes, LVEF, Sex, Frailty, Hemoglobin, NYHA Class, Procedure Type, PVD, Sternotomy, Priority Status",
15-001-09,20031785,Keenan,2008,Circulation: Cardiovascular and Quality Outcomes,An Administrative Claims Measure Suitable for Profiling Hospital Performance on the Basis of 30-Day All-Cause Readmission Rates Among Patients with Heart Failure,Congestive Heart Failure (CHF),N/A,Hospitalization,283919,283919,67005,Short (< 3 months),0.6,No,"ACS, Age, Arrhythmia, Asthma, Cancer, Cardiorespiratory Failure/Shock, Atherosclerosis, COPD, CHF, Ulcer, Dementia, Depression, Diabetes, Electrolyte Disorders, Substance Abuse, ESRD or Dialysis, Chronic Lung Disorders, Functional Disability, CABG, Anemia",
15-001-10,9202355,Chin,1997,American Journal of Cardiology,Correlates of Early Hospital Readmission or Death in Patients with Congestive Heart Failure,Congestive Heart Failure (CHF),N/A,Composite (Non-MACE),257,257,82,Short (< 3 months),,No,"Charlson Comorbidity Index, SBP, ST-T-Wave Changes on EKG, Marital Status",
15-001-11,10618565,Krumholz,2000,American Heart Journal,Predictors of readmission among elderly survivors of admission with heart failure,Congestive Heart Failure (CHF),N/A,Hospitalization,1129,1129,570,Moderate (3-6 months),,No,"Creatinine, Diabetes, Prior Admission, Heart Failure",
15-001-12,10618565,Krumholz,2000,American Heart Journal,Predictors of readmission among elderly survivors of admission with heart failure,Congestive Heart Failure (CHF),N/A,Congestive Heart Failure (CHF),1129,1129,287,Moderate (3-6 months),,No,"Creatinine, Diabetes, Prior Admission, Heart Failure",
